product_name,product_price,original_price,discount_percentage,product_rating,reviews_count,estimated_amount_bought
"Hp 15 VICTUS GAMING, 12TH GEN INTEL CORE I5, 16GB RAM, 512GB SSD,4GB NVIDIA RTX 2050 WINS 11","₦ 1,421,800",N/A,N/A,3.3,4,40.0
DELL Latitude 3190 INTEL CELERON 128GB SSD 4GB WIN 10 Pro+pouch,"₦ 170,000",N/A,N/A,N/A,1,10.0
Hp ProBook 11 X360- TOUCH Intel Celeron 256GB 4GB RAM WIN 10 Pro+ MOUSE & USB LIGHT FOR KEYBOARD,"₦ 220,000","₦ 820,000",73%,4.3,12,120.0
"Apple MacBook Pro 16.2"" 40 Core 48GB/1TB M3 Max - Black","₦ 6,500,999","₦ 9,999,999",35%,N/A,0,0.0
Hp ELITEBOOK X360 1030 G3 8TH GEN CORE I5 8GB RAM/ 256GB SSD BACKLIT KEYBOARD FP READER WIN 11 PRO,"₦ 590,000","₦ 650,000",9%,N/A,1,10.0
Hp Stream 11 Laptop- Intel Celeron - 64GB SSD 4GB RAM Windows 10 PRO +USB Light For Keyboard,"₦ 170,000","₦ 340,000",50%,2.5,4,40.0
"DELL Latitude 3190, INTEL PENTIUM 128GB SSD 4GB WIN 10","₦ 200,000","₦ 250,000",20%,2.7,3,30.0
Hp Elitebook 830 G7 Touch Screen Intel Core I7 512SSD/16GB RAM Win 11 Pro,"₦ 890,000","₦ 990,000",10%,3.6,9,90.0
Lenovo Ideapad 15 Inch Intel® Celeron® 8GB RAM DDR4 - 256 SSD Windows 11 + POUCH BAG,"₦ 371,524","₦ 990,000",62%,3.4,5,50.0
Hp CHROMEBOOK 11 INTEL CELERON 4GB RAM 16GB WINS 10+light,"₦ 120,000",N/A,N/A,N/A,0,0.0
"Hp CHROMEBOOK 11 G4,INTEL CELERON,4GB RAM,32GB SSD + BAG","₦ 140,000",N/A,N/A,N/A,1,10.0
"DELL Latitude 3180 Intel Celeron 4GB RAM, 128GB SSD Windows 10 + Keyboard Flash Light","₦ 200,000","₦ 250,000",20%,3.8,16,160.0
DELL Latitude 7400 512GB SSD/16GB RAM/ Intel Core I7 / BACKLIGHT KEYBOARD-WIN 11 PRO+ BAG,"₦ 650,000","₦ 980,000",34%,N/A,0,0.0
Hp EliteBook 840 G6 Intel Core I5-8GB RAM/512GB SSD/Backlit Keyboard/FP Reader Wins 11 Laptop +BAG,"₦ 480,000","₦ 965,100",50%,N/A,0,0.0
Hp EliteBook 845 AMD RYZEN 7 PRO - 4750U-16GB RAM/512GB SSD/Backlit Keyboard/FP Reader Win11 Pro +BAG,"₦ 630,000","₦ 800,000",21%,4.7,3,30.0
Hp ProBook 11 X360- TOUCH Intel Celeron 256GB 8GB RAM WIN10 Pro & USB LIGHT FOR KEYBOARD,"₦ 220,000","₦ 400,000",45%,N/A,0,0.0
Hp Stream 11 Laptop- Intel Celeron - 64GB SSD 4GB RAM Windows 10 PRO+ Mouse & USB Light For Keyboard,"₦ 190,000",N/A,N/A,N/A,1,10.0
Hp ProBook 11 X360- Touch Intel Pentium 256GB 4GB RAM Win 10,"₦ 200,000",N/A,N/A,N/A,0,0.0
Hp Chromebook 11 Celeron 4gb RAM 16gb Windows10,"₦ 130,000","₦ 145,000",10%,N/A,0,0.0
Hp Stream 11 Pro G4 Intel Celeron - TOUCHSCREEN- 1.1 Up To 2.2 Burst Frequency(4gb Ram 64gb SSD + 1TB One Storage) Education Edition Laptop Windows 10+ USB Light For Keyboard,"₦ 935,000",N/A,N/A,N/A,1,10.0
Hp EliteBook  830 G6 TOUCHSCREEN Intel Core I5-16GB RAM/1TB SSD/Backlit Keyboard/Windows 11 Pro+BAG,"₦ 570,000","₦ 702,000",19%,N/A,0,0.0
Hp ProBook 11 X360- TOUCH- 512GB SSD/4GB RAM-Intel CELERON QUAD CORE WIN10 Pro +Mouse &USB Light,"₦ 250,000","₦ 800,000",69%,N/A,0,0.0
Hp EliteBook 840 G6 Intel Core I5- 8GB RAM/512GB SSD/Backlit Keyboard/FP Reader Win 11 Pro Laptop+BAG,"₦ 490,000","₦ 900,000",46%,4.5,22,220.0
Hp ENVY 14 X360 13TH GEN INTEL CORE I7 16GB RAM 1TB SSD BACKLIT KEYBOARD FP READER WINS 11,"₦ 1,590,000",N/A,N/A,N/A,3,30.0
Hp ProBook 11 X360- TOUCH Intel Celeron 256GB 4GB RAM WIN10 Pro & USB LIGHT FOR KEYBOARD,"₦ 220,000","₦ 900,000",76%,4.2,5,50.0
Hp PRO ProBook 11 X360 TOUCH INTEL CORE I5 512GB SSD- 8GB RAM Windows 11+ 32GB FLASH & POUCH BAG,"₦ 430,000",N/A,N/A,N/A,0,0.0
Hp ProBook 11 X360- TOUCH- 256GB SSD/4GB RAM-Intel CELERON QUAD CORE WIN10 Pro +Mouse &USB Light,"₦ 220,000","₦ 400,000",45%,N/A,11,110.0
Hp ProBook 11 X360- TOUCH- 512GB SSD/4GB RAM-Intel CELERON QUAD CORE WIN10 Pro +Mouse &USB Light,"₦ 250,000","₦ 800,000",69%,N/A,1,10.0
Hp Notebook 15 Laptop Intel Pentium N200 Quad-Core 8GB RAM 128GB SSD 15.6-inch Windows 11 Red,"₦ 396,999","₦ 800,000",50%,N/A,0,0.0
Hp ProBook 11 X360- TOUCH Intel Celeron 512GB 4GB RAM WIN10 Pro+ USB LIGHT FOR KEYBOARD,"₦ 260,549","₦ 620,000",58%,3.8,4,40.0
Hp EliteBook 840 G6 Intel Core I5-12GB RAM/512GB SSD/Backlit Keyboard/FP Reader Windows 11 Pro + BAG,"₦ 490,000","₦ 800,000",39%,N/A,0,0.0
Hp ProBook 11 X360- TOUCH Intel Celeron 256GB 4GB RAM WIN 10 Pro+ MOUSE & USB LIGHT FOR KEYBOARD,"₦ 220,000","₦ 850,000",74%,3.5,4,40.0
Hp EliteBook 840 G6 Intel Core I5- 16GB RAM/512GB SSD/Backlit,"₦ 510,000",N/A,N/A,N/A,0,0.0
Hp EliteBook 830 G6 X360 TOUCHSCREEN Core I5-16GB RAM/512GB SSD/Backlit Keyboard/Windows 11 Pro+BAG,"₦ 590,000","₦ 650,000",9%,3.9,8,80.0
Hp Stream 11 Laptop- Intel Celeron -TOUCH SCREEN 128GB SSD 4GB RAM Windows 10 PRO +USB Light For Keyboard,"₦ 200,000","₦ 325,000",38%,N/A,1,10.0
Hp EliteBook 840 G6 Intel Core I5- 16GB RAM/256GB SSD/Backlit Keyboard/FP Reader Windows 11 Pro +MOUSE,"₦ 490,000","₦ 900,000",46%,N/A,0,0.0
Hp Stream 11 Laptop- Intel Celeron - 64GB SSD 4GB RAM Windows 10 USB Light For Keyboard,"₦ 140,000",N/A,N/A,N/A,0,0.0
Hp EliteBook 840 G6 Intel Core I5- 16GB RAM/512GB SSD/Backlit Keyboard/FP Reader Win 11 Pro Laptop+BAG,"₦ 510,000","₦ 900,000",43%,N/A,2,20.0
Hp ProBook 11 X360- TOUCH- 512GB SSD/4GB RAM-Intel CELERON QUAD CORE WIN10 Pro +Mouse &USB Light,"₦ 240,000","₦ 620,000",61%,N/A,1,10.0
Hp EliteBook 840 G5 TOUCHSCREEN Core I5-16GB RAM/512GB SSD/Backlit Keyboard/Windows 11 Pro+BAG,"₦ 530,000","₦ 750,000",29%,N/A,1,10.0
"Hp CHROMEBOOK 11 G4, CELERON, 4GB RAM,16GB SSD + 32GB FLASH","₦ 120,000","₦ 230,000",48%,N/A,2,20.0
